name,scholar_url,professor,university,degree_type,field_of_study
Peter T Pham,https://scholar.google.com/citations?user=tJzykd0AAAAJ&hl=en,Andrew Ng,Stanford University,Uber,ML
Dan Huang,https://scholar.google.com/citations?user=HEY3UzgAAAAJ&hl=en,Andrew Ng,Stanford University,Stanford University,ML
Andrew Y Ng,https://scholar.google.com/citations?user=mG4imMEAAAAJ&hl=en,https://www.linkedin.com/in/andrewyng,Andrew Ng ,Stanford University,Stanford University,ML
Morgan Quigley,https://scholar.google.com/citations?user=fMDLYCUAAAAJ&hl=en,https://www.linkedin.com/in/morgan-quigley-6a929b79,Andrew Ng ,Stanford University,Open Source Robotics Foundation,ML
Ken Conley,https://scholar.google.com/citations?user=XISHeF4AAAAJ&hl=en,https://www.linkedin.com/in/ken-conley-a313174,Andrew Ng ,Stanford University,Unknown affiliation,ML
Brian Gerkey,https://scholar.google.com/citations?user=pcWicN8AAAAJ&hl=en,https://www.linkedin.com/in/briangerke,Andrew Ng ,Stanford University,OSRF,ML
Josh Faust,https://scholar.google.com/citations?user=MK6Qgi4AAAAJ&hl=en,https://www.linkedin.com/in/joshfaust1,Andrew Ng ,Stanford University,Johns Hopkins U.,ML
Tully Foote,https://scholar.google.com/citations?user=0Ix7S-4AAAAJ&hl=en,https://www.linkedin.com/in/tullyfoote,Andrew Ng ,Stanford University,Open Robotics,ML
Andrew L Maas,https://scholar.google.com/citations?user=emiAAG0AAAAJ&hl=en,https://www.linkedin.com/in/andrewleemaas,Andrew Ng ,Stanford University,Stanford University,ML
Awni Y Hannun,https://scholar.google.com/citations?user=3-mdTUAAAAAJ&hl=en,https://www.linkedin.com/in/awni-hannun-36382a17,Andrew Ng ,Stanford University,"Machine Learning Research, Apple",ML
Richard Socher,https://scholar.google.com/citations?user=FaOcyfMAAAAJ&hl=en,https://www.linkedin.com/in/richardsocher,Andrew Ng ,Stanford University,you.com,ML
Alex Perelygin,https://scholar.google.com/citations?user=IbhAfU4AAAAJ&hl=en,https://www.linkedin.com/in/alex-perelygin-59091040,Andrew Ng ,Stanford University,Unknown affiliation,ML
Jean Wu,https://scholar.google.com/citations?user=WvE2HhEAAAAJ&hl=en,https://www.linkedin.com/in/jeanwu,Andrew Ng ,Stanford University,UC Berkeley,ML
Jason Chuang,https://scholar.google.com/citations?user=7f6wto8AAAAJ&hl=en,https://www.linkedin.com/in/jcchuang,Andrew Ng ,Stanford University,.,ML
